0, 1570812749, H, 7201, 9401_N, 9401_05, 9401_50, 9401_95, 9402_N, 9402_05, 9402_50, 9402_95, 9403_N, 9403_05, 9403_50, 9403_95, 9404_N, 9404_05, 9404_50, 9404_95, 9405_N, 9405_05, 9405_50, 9405_95, 9406_N, 9406_05, 9406_50, 9406_95, 9407_N, 9407_05, 9407_50, 9407_95, 9408_N, 9408_05, 9408_50, 9408_95, 9409_N, 9409_05, 9409_50, 9409_95, 9410_N, 9410_05, 9410_50, 9410_95, 9411_N, 9411_05, 9411_50, 9411_95, 9412_N, 9412_05, 9412_50, 9412_95, 9413_N, 9413_05, 9413_50, 9413_95, 9414_N, 9414_05, 9414_50, 9414_95, 9415_N, 9415_05, 9415_50, 9415_95, 9416_N, 9416_05, 9416_50, 9416_95, 9417_N, 9417_05, 9417_50, 9417_95, 9418_N, 9418_05, 9418_50, 9418_95, 9419_N, 9419_05, 9419_50, 9419_95, 44032
1, 1570812762, E, 6014, 2831, 59184
2, 1570812766, E, 6015, 2831, 3, 14755
3, 1570812778, E, 6014, 2831, 10813
4, 1570812780, E, 6015, 2831, 1, 46412
5, 1570813051, M, 7201, 1200, 0, 0, 0, 0, NA, NA, NA, 0, NA, NA, NA, 0, NA, NA, NA, 0, NA, NA, NA, 0, NA, NA, NA, 0, NA, NA, NA, 0, NA, NA, NA, 0, NA, NA, NA, 1200, 0, 0, 0, 1200, 21, 21, 21, 0, NA, NA, NA, 1200, 50, 50, 50, 1200, 0, 0, 0, 1200, 0, 0, 0, 1200, 50, 50, 50, 1200, 0, 0, 0, 1200, 0, 0, 0, 1200, 18, 18, 18, 46113
6, 1570813269, E, 6001, 6001, 38944
7, 1570813269, E, 6026, 6026, 38630
8, 1570813363, M, 7201, 1200, 0, 0, 0, 0, NA, NA, NA, 0, NA, NA, NA, 0, NA, NA, NA, 0, NA, NA, NA, 0, NA, NA, NA, 0, NA, NA, NA, 0, NA, NA, NA, 0, NA, NA, NA, 1200, 0, 0, 0, 1200, 21, 21, 21, 0, NA, NA, NA, 1200, 50, 50, 50, 1200, 0, 0, 0, 1200, 0, 0, 0, 1200, 50, 50, 50, 1200, 0, 0, 0, 1200, 0, 0, 0, 1200, 18, 18, 18, 43372
9, 1570813583, E, 6000, 2425, -1, 0, 0, 09190
10, 1570813583, E, 6000, 2428, -1, 50, 0, 39560
11, 1570813583, E, 6000, 2429, -1, 33, 0, 14028
12, 1570813675, M, 7201, 1200, 0, 0, 0, 0, NA, NA, NA, 0, NA, NA, NA, 0, NA, NA, NA, 0, NA, NA, NA, 0, NA, NA, NA, 0, NA, NA, NA, 0, NA, NA, NA, 0, NA, NA, NA, 1200, 0, 0, 0, 1200, 21, 21, 21, 0, NA, NA, NA, 1200, 50, 50, 50, 1200, 0, 0, 0, 1200, 0, 0, 0, 1200, 50, 50, 50, 1200, 0, 0, 0, 1200, 0, 0, 0, 1200, 18, 18, 18, 18945
13, 1570813736, E, 6028, 2425, -1, 30443
14, 1570813778, E, 6006, 29, 0, "", 2176, 2175, 28398
15, 1570813779, E, 6000, 2435, -1, 20, 21, 62551
16, 1570813780, E, 6000, 2441, -1, 2, -25076, 44000
17, 1570813781, E, 6000, 2432, -1, 49, 88, 45042
18, 1570813798, E, 6006, 34, 2, "NIGHT 2", OFF, OFF, 09055
19, 1570813800, E, 6028, 2435, -1, 17955
20, 1570813801, E, 6000, 2435, -1, 20, 21, 00240
21, 1570813802, E, 6028, 2435, -1, 38240
22, 1570813802, E, 6000, 2435, -1, 20, 21, 34390
23, 1570813804, E, 6028, 2435, -1, 49658
24, 1570813805, E, 6000, 2435, -1, 20, 21, 04003
25, 1570813806, E, 6028, 2435, -1, 25335
26, 1570813806, E, 6002, 6002, 40423
27, 1570813806, E, 6028, 2428, -1, 59205
28, 1570813806, E, 6028, 2429, -1, 06672
29, 1570813806, E, 6002, 6002, 59970
30, 1570813806, E, 6028, 2432, -1, 53365
31, 1570813806, E, 6002, 6002, 11411
32, 1570813807, E, 6000, 2435, -1, 20, 21, 49599
33, 1570813808, E, 6028, 2435, -1, 24365
34, 1570813808, E, 6000, 2435, -1, 20, 21, 00178
35, 1570813810, E, 6028, 2435, -1, 07224
36, 1570813811, E, 6000, 2435, -1, 20, 21, 21243
37, 1570813812, E, 6028, 2435, -1, 61411
38, 1570813813, E, 6000, 2435, -1, 20, 21, 41011
39, 1570813813, E, 6028, 2435, -1, 23338
40, 1570813813, E, 6028, 2441, -1, 17879
41, 1570813817, E, 6000, 2435, -1, 20, 21, 04437
42, 1570813819, E, 6028, 2435, -1, 61041
43, 1570813820, E, 6000, 2435, -1, 20, 21, 12757
44, 1570813821, E, 6028, 2435, -1, 26482
45, 1570813821, E, 6000, 2441, -1, 2, -25076, 50305
46, 1570813822, E, 6000, 2435, -1, 20, 21, 52759
47, 1570813823, E, 6028, 2435, -1, 02188
48, 1570813823, E, 6000, 2435, -1, 20, 21, 10238
49, 1570813825, E, 6028, 2435, -1, 44396
50, 1570813826, E, 6000, 2435, -1, 20, 21, 13897
51, 1570813827, E, 6028, 2435, -1, 45125
52, 1570813828, E, 6000, 2435, -1, 20, 21, 54644
53, 1570813829, E, 6028, 2435, -1, 47740
54, 1570813829, E, 6000, 2435, -1, 20, 21, 27331
55, 1570813831, E, 6028, 2435, -1, 63849
56, 1570813832, E, 6000, 2435, -1, 20, 21, 10932
57, 1570813833, E, 6028, 2435, -1, 02738
58, 1570813834, E, 6000, 2435, -1, 20, 21, 64512
59, 1570813835, E, 6028, 2435, -1, 44882
60, 1570813835, E, 6000, 2435, -1, 20, 21, 07391
61, 1570813837, E, 6028, 2435, -1, 31761
62, 1570813838, E, 6000, 2435, -1, 20, 21, 58563
63, 1570813839, E, 6028, 2435, -1, 30248
64, 1570813840, E, 6000, 2435, -1, 20, 21, 32815
65, 1570813841, E, 6028, 2435, -1, 31526
66, 1570813841, E, 6000, 2435, -1, 20, 21, 05303
67, 1570813843, E, 6028, 2435, -1, 35069
68, 1570813844, E, 6000, 2435, -1, 20, 21, 55586
69, 1570813845, E, 6028, 2435, -1, 11549
70, 1570813846, E, 6000, 2435, -1, 20, 21, 63432
71, 1570813847, E, 6028, 2435, -1, 12340
72, 1570813847, E, 6000, 2435, -1, 20, 21, 25424
73, 1570813849, E, 6028, 2435, -1, 14861
74, 1570813850, E, 6000, 2435, -1, 20, 21, 25740
75, 1570813851, E, 6028, 2435, -1, 31000
76, 1570813852, E, 6000, 2435, -1, 20, 21, 60213
77, 1570813853, E, 6028, 2435, -1, 35523
78, 1570813854, E, 6000, 2435, -1, 20, 21, 15745
79, 1570813855, E, 6028, 2435, -1, 12067
80, 1570813856, E, 6000, 2435, -1, 20, 21, 06213
81, 1570813857, E, 6028, 2435, -1, 31070
82, 1570813858, E, 6000, 2435, -1, 20, 21, 64376
83, 1570813859, E, 6028, 2435, -1, 29543
84, 1570813859, E, 6000, 2435, -1, 20, 21, 17615
85, 1570813861, E, 6028, 2435, -1, 64100
86, 1570813862, E, 6000, 2435, -1, 20, 21, 02251
87, 1570813863, E, 6028, 2435, -1, 02495
88, 1570813864, E, 6000, 2435, -1, 20, 21, 56959
89, 1570813865, E, 6028, 2435, -1, 44127
90, 1570813866, E, 6000, 2435, -1, 20, 21, 61589
91, 1570813867, E, 6028, 2435, -1, 45430
92, 1570813868, E, 6000, 2435, -1, 20, 21, 05032
93, 1570813869, E, 6028, 2435, -1, 47951
94, 1570813870, E, 6000, 2435, -1, 20, 21, 25553
95, 1570813871, E, 6028, 2435, -1, 63578
96, 1570813871, E, 6000, 2435, -1, 20, 21, 63305
97, 1570813873, E, 6028, 2435, -1, 02945
98, 1570813874, E, 6000, 2435, -1, 20, 21, 15068
99, 1570813875, E, 6028, 2435, -1, 44641
100, 1570813876, E, 6000, 2435, -1, 20, 21, 36936
101, 1570813877, E, 6028, 2435, -1, 17123
102, 1570813877, E, 6000, 2435, -1, 20, 21, 01232
103, 1570813879, E, 6028, 2435, -1, 18650
104, 1570813880, E, 6000, 2435, -1, 20, 21, 09813
105, 1570813881, E, 6028, 2435, -1, 24047
106, 1570813882, E, 6000, 2435, -1, 20, 21, 43500
107, 1570813883, E, 6028, 2435, -1, 44596
108, 1570813883, E, 6000, 2435, -1, 20, 21, 16389
109, 1570813885, E, 6028, 2435, -1, 03028
110, 1570813886, E, 6000, 2435, -1, 20, 21, 20914
111, 1570813887, E, 6028, 2435, -1, 05885
112, 1570813888, E, 6000, 2435, -1, 20, 21, 45711
113, 1570813889, E, 6028, 2435, -1, 07364
114, 1570813890, E, 6000, 2435, -1, 20, 21, 49910
115, 1570813891, E, 6028, 2435, -1, 24529
116, 1570813892, E, 6000, 2435, -1, 20, 21, 19791
117, 1570813893, E, 6028, 2435, -1, 44042
118, 1570813894, E, 6000, 2435, -1, 20, 21, 39931
119, 1570813895, E, 6028, 2435, -1, 02538
