1,1577469829,H,7201,9401_N,9401_5,9401_50,9401_95,9402_N,9402_5,9402_50,9402_95,9403_N,9403_5,9403_50,9403_95,9404_N,9404_5,9404_50,9404_95,9405_N,9405_5,9405_50,9405_95,9406_N,9406_5,9406_50,9406_95,9407_N,9407_5,9407_50,9407_95,9408_N,9408_5,9408_50,9408_95,9409_N,9409_5,9409_50,9409_95,9410_N,9410_5,9410_50,9410_95,9411_N,9411_5,9411_50,9411_95,9412_N,9412_5,9412_50,9412_95,9413_N,9413_5,9413_50,9413_95,9414_N,9414_5,9414_50,9414_95,9415_N,9415_5,9415_50,9415_95,9416_N,9416_5,9416_50,9416_95,9417_N,9417_5,9417_50,9417_95,9418_N,9418_5,9418_50,9418_95,9419_N,9419_5,9419_50,9419_95,47899
2,1577469828,C,7000,"4.06.01R","113830",14001,0,13001,26553
3,1577469828,E,6012,1,42920
4,1577469829,C,7000,"4.06.01R","113830",14001,0,13001,29698
5,1577469828,E,6004,0,26016
6,1577469829,S,5001,0,2001,2027,2027,2026,2027,2026,2026,2026,2026,2025,2176,2200,-180,-180,20,24641
7,1577469829,S,5002,1,"Preset 1",2050,3061,2076,2228,10,5,2151,500,25,5,10,10,50,2150,2151,25,15,2,12,2150,2150,2250,5,2290,2151,30,20551
8,1577469829,M,7204,1,1,1,1,0,1,1,0,0,0,0,3102,0,0,2990,0,0,3038,02603
9,1577469829,S,5003,1,25,2150,49,2151,12,2151,55,2151,3,2151,16,2151,120,2151,40,2151,2150,2276,2280,01652
10,1577469829,S,5002,2,"Preset 2",2050,3061,2076,2227,30,10,2151,500,25,20,10,10,40,2151,2151,25,15,1,12,2150,2151,2250,5,2290,2151,30,10409
11,1577469829,S,5003,2,10,2150,90,2151,500,2151,80,2151,4,2150,5,2150,25,2151,40,2150,2150,2276,2280,05138
12,1577469829,S,5002,3,"Preset 3",2050,3061,2075,2227,12,10,2151,500,10,5,10,10,20,2150,2151,25,15,4,12,2150,2151,2250,5,2290,2151,30,50876
13,1577469829,S,5003,3,20,2150,90,2151,500,2151,20,2151,5,2150,5,2150,25,2150,10,2150,2151,2277,2280,01913
14,1577469830,S,5002,3,"Preset 3",2050,3061,2075,2227,12,10,2151,500,10,5,10,10,20,2150,2151,25,15,4,12,2150,2151,2250,5,2290,2151,30,49230
15,1577469830,S,5003,3,20,2150,90,2151,500,2151,20,2151,5,2150,5,2150,25,2150,10,2150,2151,2277,2280,19925
16,1577469830,S,5005,1,"Preset 1",40,-40,50,50,50,4,3,2150,2151,13967
17,1577469830,S,5005,2,"Preset 2",25,-25,15,15,15,4,3,2150,2151,54961
18,1577469830,M,7203,2,2151,2151,2151,2151,2151,62875
19,1577469830,S,5005,3,"Preset 3",25,-25,15,15,15,4,3,2150,2151,50703
20,1577469830,S,5004,1,"Preset 1",5,2151,3075,3125,30,24,2151,40,2151,2150,06020
21,1577469830,S,5004,2,"Preset 2",5,2151,3075,3125,21,90,2151,19,2151,2150,59310
22,1577469830,S,5004,3,"Preset 3",5,2151,3075,3125,21,90,2151,19,2151,2150,16144
23,1577469830,M,7203,2,2151,2151,2151,2151,2151,37704
24,1577469830,M,7204,1,1,1,1,0,1,1,0,0,0,0,3102,0,0,2990,0,0,3038,41309
25,1577469917,E,6000,68,15400,15772,-1,30449
26,1577469921,E,6000,70,15,6,-1,19486
27,1577469925,E,6028,70,-1,17746
28,1577469927,E,6028,68,-1,02543
29,1577469936,E,6006,68,2,9008,2276,2285,25025
30,1577470129,M,7201,1200,15,21,45,1184,26,30,31,1187,45,46,46,1184,18,19,19,1176,10,10,10,1160,171,216,245,1160,54,64,79,1160,30,30,30,1184,96,103,103,1200,0,0,0,23,21,21,21,0,NA,NA,NA,1200,78,78,78,1200,99,99,99,1200,100,100,100,1200,100,100,100,1200,100,100,100,1200,100,100,100,1200,0,0,0,03715
31,1577470429,M,7201,1200,19,32,45,1200,31,31,31,1200,46,46,46,1200,19,19,19,1200,10,10,10,1200,211,215,219,1200,64,65,65,1200,30,30,30,1200,103,103,103,1200,0,0,0,1200,21,21,21,0,NA,NA,NA,1200,78,78,78,1200,99,99,99,1200,100,100,100,1200,100,100,100,1200,100,100,100,1200,100,100,100,1200,0,0,0,47201
32,1577470729,M,7201,1200,19,32,45,1200,31,31,31,1200,46,46,46,1200,19,19,19,1200,10,10,10,1200,212,215,219,1200,64,65,65,1200,30,30,30,1200,103,103,103,1200,0,0,0,1200,21,21,21,0,NA,NA,NA,1200,78,78,78,1200,99,99,99,1200,100,100,100,1200,100,100,100,1200,100,100,100,1200,100,100,100,1200,0,0,0,33074
33,1577470901,E,6022,1462,0,0,0,8538,1200,19549
34,1577471029,M,7201,1200,19,37,45,1200,31,31,31,1200,46,46,46,1200,19,19,19,1200,10,10,10,1200,211,215,218,1200,64,65,65,1200,30,30,30,1200,103,103,103,1200,0,0,0,1200,21,21,21,0,NA,NA,NA,1200,78,78,78,1200,99,99,99,1200,100,100,100,1200,100,100,100,1200,100,100,100,1200,100,100,100,1200,0,0,0,63575
35,1577471329,M,7201,1200,19,37,45,1200,31,31,31,1200,46,46,46,1200,19,19,19,1200,10,10,10,1200,211,215,218,1200,64,64,65,1200,30,30,30,1200,103,103,103,1200,0,0,0,1200,21,21,21,0,NA,NA,NA,1200,78,78,78,1200,99,99,99,1200,100,100,100,1200,100,100,100,1200,100,100,100,1200,100,100,100,1200,0,0,0,15151
36,1577471629,M,7201,1200,19,37,45,1200,31,31,31,1200,46,46,46,1200,19,19,19,1200,10,10,10,1200,211,215,218,1200,64,64,65,1200,30,30,30,1200,103,103,103,1200,0,0,0,1200,21,21,21,0,NA,NA,NA,1200,78,78,78,1200,99,99,99,1200,100,100,100,1200,100,100,100,1200,100,100,100,1200,100,100,100,1200,0,0,0,62170
37,1577471929,M,7201,1200,19,37,45,1200,31,31,31,1200,46,46,46,1200,19,19,19,1200,10,10,10,1200,210,214,217,1200,63,64,65,1200,30,30,30,1200,103,103,103,1200,0,0,0,1200,21,21,21,0,NA,NA,NA,1200,78,78,78,1200,99,99,99,1200,100,100,100,1200,100,100,100,1200,100,100,100,1200,100,100,100,1200,0,0,0,28387
